run_number,ifrs_17_group,underlying_group,variable,run_step,currency,2020-09-30,2020-10-31,2020-11-30,2020-12-31
101.0,BAF_CAY_Morb_Medsafe_2020_Reins,,ICV,PAA_OPENING_CURRENT,,-1177283,0,0,0
101.0,BAF_CAY_Morb_Medsafe_2020_Reins,,LIC,PAA_OPENING_CURRENT,,-307738,0,0,0
101.0,BAF_CAY_Morb_Medsafe_2020_Reins,,LRC,PAA_OPENING_CURRENT,,-869545,0,0,0
101.0,BAF_CAY_Morb_Medsafe_2020_Reins,,LRC_AQE,PAA_OPENING_CURRENT,,0,0,0,0
101.0,BAF_CAY_Morb_Medsafe_2020_Reins,,LRC_AQE_FX_IMPACT,PAA_OPENING_CURRENT,,0,0,0,0
101.0,BAF_CAY_Morb_Medsafe_2020_Reins,,LRC_FX_IMPACT,PAA_OPENING_CURRENT,,0,0,0,0
101.0,BAF_CAY_Morb_Medsafe_2020_Reins,,LRC_LC,PAA_OPENING_CURRENT,,0,0,0,0
101.0,BAF_CAY_Morb_Medsafe_2020_Reins,,LRC_LC_FX_IMPACT,PAA_OPENING_CURRENT,,0,0,0,0
101.0,BAF_CAY_Morb_Medsafe_2020_Reins,,FLAG_LC,PAA_OPENING_CURRENT,,0,0,0,0
101.0,BAF_CAY_Morb_Medsafe_2020_Reins,,FLAG_LRECC,PAA_OPENING_CURRENT,,0,0,0,0
101.0,BAF_CAY_Morb_Medsafe_2020_Reins,,LRC_P,PAA_OPENING_CURRENT,,-869545,0,0,0
101.0,BAF_CAY_Morb_Medsafe_2020_Reins,,LRC_P_FX_IMPACT,PAA_OPENING_CURRENT,,0,0,0,0
102.0,,,LIC,PAA_CHANGE_IN_DR_SOP,,0,0,0,0
102.0,,,LRC_P,PAA_CHANGE_IN_DR_SOP,,0,0,0,0
102.0,,,ICV,PAA_CHANGE_IN_DR_SOP,,0,0,0,0
102.0,,,LRC,PAA_CHANGE_IN_DR_SOP,,-869545,0,0,0
102.0,,,FLAG_LRECC,PAA_CHANGE_IN_DR_SOP,,0,0,0,0
102.0,,,FLAG_LC,PAA_CHANGE_IN_DR_SOP,,0,0,0,0
102.0,,,DELTA_LRC,PAA_CHANGE_IN_DR_SOP,,0,0,0,0
102.0,,,LRC_AQE,PAA_CHANGE_IN_DR_SOP,,0,0,0,0
102.0,,,LRC_LC,PAA_CHANGE_IN_DR_SOP,,0,0,0,0
102.0,,,LRC_LRECC,PAA_CHANGE_IN_DR_SOP,,0,0,0,0
102.0,,,BEL_IFRS17_GMM,PAA_CHANGE_IN_DR_SOP,,0,0,0,0
102.0,,,CLAIM_RECOVERY_PERCENT,PAA_CHANGE_IN_DR_SOP,,0,0,0,0
102.0,,,FCF_GMM,PAA_CHANGE_IN_DR_SOP,,0,0,0,0
102.0,,,RA_GMM,PAA_CHANGE_IN_DR_SOP,,0,0,0,0
